time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
1,507;7,667;-0,833;64543;True;-0,833;-15,000
1,659;8,000;-0,500;63519;True;-0,500;0,089
1,912;8,667;0,167;61503;True;0,167;1,645
2,441;9,000;0,500;63551;True;0,500;1,339
2,592;9,167;0,667;63551;True;0,667;1,915
2,744;9,000;0,500;63551;True;0,500;0,492
3,254;9,000;0,500;63551;True;0,500;1,066
3,559;8,833;0,333;63519;True;0,333;0,470
4,827;8,500;0,000;64543;True;0,000;-0,055
5,329;8,167;-0,333;64543;True;-0,333;-0,939
5,634;8,000;-0,500;64543;True;-0,500;-1,229
5,785;8,000;-0,500;64543;True;-0,500;-0,963
6,128;8,333;-0,167;63551;True;-0,167;0,184
6,280;8,667;0,167;63551;True;0,167;1,465
6,432;9,000;0,500;63551;True;0,500;2,138
6,983;8,500;0,000;65055;True;0,000;-0,412
7,135;8,000;-0,500;65055;True;-0,500;-2,612
7,186;7,500;-1,000;65055;True;-1,000;-6,888
7,688;8,000;-0,500;63551;True;-0,500;-0,499
7,841;8,833;0,333;61567;True;0,333;3,403
7,993;9,667;1,167;61567;True;1,167;5,092
8,350;9,833;1,333;61503;True;1,333;2,974
8,654;9,500;1,000;63551;True;1,000;1,557
8,959;9,167;0,667;63551;True;0,667;0,911
9,296;8,667;0,167;64543;True;0,167;-0,279
9,600;8,333;-0,167;64543;True;-0,167;-0,756
9,752;8,000;-0,500;64543;True;-0,500;-1,979
10,100;8,333;-0,167;63551;True;-0,167;0,257
10,455;8,667;0,167;63551;True;0,167;0,920
10,658;9,000;0,500;63551;True;0,500;1,950
10,948;9,000;0,500;63551;True;0,500;1,142
11,253;9,000;0,500;63551;True;0,500;1,158
11,405;8,667;0,167;64543;True;0,167;-0,601
11,803;8,333;-0,167;64543;True;-0,167;-0,599
11,956;8,000;-0,500;64543;True;-0,500;-1,949
12,108;8,000;-0,500;64543;True;-0,500;-0,862
12,450;8,000;-0,500;64543;True;-0,500;-0,879
12,603;8,000;-0,500;64543;True;-0,500;-0,887
12,755;8,167;-0,333;63519;True;-0,333;-0,012
13,664;8,500;0,000;63551;True;0,000;0,292
13,816;8,833;0,333;63551;True;0,333;1,874
14,121;9,000;0,500;63551;True;0,500;1,403
14,366;8,667;0,167;64543;True;0,167;-0,213
14,721;8,333;-0,167;64543;True;-0,167;-0,676
14,874;8,333;-0,167;63551;True;-0,167;-0,209
15,935;8,667;0,167;63551;True;0,167;0,632
16,240;9,000;0,500;63551;True;0,500;1,704
16,443;8,833;0,333;63519;True;0,333;0,421
16,942;8,500;0,000;64543;True;0,000;-0,170
17,248;8,167;-0,333;64543;True;-0,333;-1,059
17,551;8,167;-0,333;63519;True;-0,333;-0,523
19,478;9,000;0,500;57471;True;0,500;1,456
19,680;9,833;1,333;57471;True;1,333;4,992
19,984;10,333;1,833;61567;True;1,833;4,812
20,484;9,667;1,167;64575;True;1,167;2,048
20,839;8,667;0,167;65055;True;0,167;-0,689
20,991;7,833;-0,667;65055;True;-0,667;-3,695
21,394;7,333;-1,167;65039;True;-1,167;-2,624
21,699;7,167;-1,333;65039;True;-1,333;-2,651
22,003;7,167;-1,333;65055;True;-1,333;-2,418
22,313;7,500;-1,000;64543;True;-1,000;-1,244
22,617;7,833;-0,667;64543;True;-0,667;-0,589
22,769;8,333;-0,167;63551;True;-0,167;1,510
23,012;8,667;0,167;63551;True;0,167;1,217
23,317;8,667;0,167;64543;True;0,167;0,537
23,621;8,333;-0,167;64543;True;-0,167;-0,682
24,582;8,167;-0,333;64575;True;-0,333;-0,586
